Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
MALUKU UTARA,Kepulauan Sula,2.78,8.23,0
MALUKU UTARA,Halmahera Selatan,1.94,5.19,0
MALUKU UTARA,Halmahera Utara,8.01,5.22,2
MALUKU UTARA,Halmahera Timur,6.78,15.04,2
MALUKU UTARA,Pulau Morotai,6.27,6.52,2
MALUKU UTARA,Pulau Taliabu,6.1,7.49,0
MALUKU UTARA,Kota Ternate,5.7,3.55,0
MALUKU UTARA,Kota Tidore Kepulauan,2.81,6.58,0
PAPUA BARAT,Fakfak,7.9,22.86,2
PAPUA BARAT,Kaimana,3.23,16.04,0
PAPUA BARAT,Teluk Wondama,2.9,31.61,1
