Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
KALIMANTAN TENGAH,Katingan,5087479,5.5,5.25,73.65,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,2.6,4.24,63.1,0
KALIMANTAN TENGAH,Gunung Mas,3804709,3.11,5.35,84.88,0
KALIMANTAN TENGAH,Barito Timur,5336339,3.22,6.38,77.92,0
KALIMANTAN TENGAH,Murung Raya,5975994,3.03,6.15,59.18,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,5.86,3.75,92.38,0
KALIMANTAN SELATAN,Tanah Laut,10516399,3.52,4.57,66.42,0
KALIMANTAN SELATAN,Kota Baru,17887219,5.57,4.86,70.96,0
KALIMANTAN SELATAN,Banjar,12108903,3.98,3.04,77.19,0
KALIMANTAN SELATAN,Barito Kuala,5942832,3.22,5.11,55.29,0
KALIMANTAN SELATAN,Tapin,6575521,4.96,3.6,79.28,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,2.44,4.84,83.69,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,3.76,6.18,87.62,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,4.8,6.83,88.09,0
KALIMANTAN SELATAN,Tabalong,14957253,3.43,6.27,96.54,0
KALIMANTAN SELATAN,Tanah Bumbu,16047002,6.83,4.82,86.7,0
KALIMANTAN SELATAN,Balangan,9477288,2.44,6.07,89.42,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,8.47,4.89,91.48,2
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,5.7,4.4,89.11,0
KALIMANTAN TIMUR,Paser,36588972,5.7,9.73,81.31,0
KALIMANTAN TIMUR,Kutai Barat,21509219,5.14,10.24,87.81,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,5.66,7.99,84.22,2
KALIMANTAN TIMUR,Kutai Timur,91906125,5.35,9.81,86.52,2
KALIMANTAN TIMUR,Berau,28802736,5.82,5.88,88.4,0
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,2.95,7.61,84.53,0
