Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
BANTEN,Pandeglang,1.0452526201887644e-34,0.9622625142953299,0.037737485704670025,1
BANTEN,Lebak,2.3367110669241357e-39,0.9528618003072228,0.047138199692777355,1
BANTEN,Tangerang,0.0,7.096066364174507e-22,1.0,2
BANTEN,Serang,0.0,8.233075963853105e-05,0.9999176692403613,2
BANTEN,Kota Tangerang,0.0,3.738033753685069e-27,1.0,2
BANTEN,Kota Cilegon,0.0,5.2916245823117486e-12,0.9999999999947082,2
BANTEN,Kota Serang,2.7306311461928612e-47,0.832998276613184,0.16700172338681593,1
BANTEN,Kota Tangerang Selatan,0.0,1.1533652979690328e-06,0.9999988466347024,2
BALI,Jembrana,0.00349116586988606,0.9932587627002828,0.003250071429831202,1
BALI,Tabanan,3.437406198502741e-14,0.9967525116854415,0.003247488314524126,1
BALI,Badung,2.922862939372235e-77,0.9519537378102987,0.048046262189701365,1
BALI,Gianyar,1.2098463231534248e-21,0.9815988828340514,0.018401117165948666,1
BALI,Klungkung,0.6098850126889728,0.3856872208026016,0.004427766508425687,0
BALI,Bangli,0.6166593514253783,0.3828863454155364,0.0004543031590854885,0
BALI,Karang Asem,2.8884533050239595e-06,0.9974664339317605,0.0025306776149344712,1
BALI,Buleleng,1.4012811066311888e-40,0.9833462128037138,0.016653787196286105,1
BALI,Kota Denpasar,1.6330176976780784e-100,0.8721769846835188,0.12782301531648127,1
NUSA TENGGARA BARAT,Lombok Barat,6.147464761778306e-07,0.9963049414299935,0.0036944438235302856,1
NUSA TENGGARA BARAT,Lombok Tengah,2.703804195473421e-10,0.9958030979320194,0.004196901797600147,1
NUSA TENGGARA BARAT,Lombok Timur,9.970275506342778e-17,0.9972418429999298,0.002758157000070221,1
NUSA TENGGARA BARAT,Sumbawa,2.063707680745411e-06,0.99564070424983,0.004357232042489251,1
NUSA TENGGARA BARAT,Dompu,0.6128386299562902,0.3843831090105525,0.0027782610331572723,0
NUSA TENGGARA BARAT,Bima,0.002176387568067243,0.9947099958747334,0.003113616557199387,1
NUSA TENGGARA BARAT,Sumbawa Barat,4.835486408210186e-22,0.9926373212337376,0.007362678766262294,1
NUSA TENGGARA BARAT,Lombok Utara,0.9993635277105579,0.0006364714798069366,8.096351950104323e-10,0
